name,vote
Ana Claudia Almirón,positivo
Roberto Gustavo Basualdo,negativo
Pablo Daniel Blanco,negativo
Inés Imelda Blas,negativo
Néstor Braillard Poccard,negativo
Esteban José Bullrich,negativo
Carlos Alberto Caserio,positivo
Oscar Aníbal Castillo,positivo
María Eugenia Catalfamo,positivo
Maurice Fabián Closs,negativo
Julio César Cleto Cobos,negativo
Eduardo Raúl Costa,positivo
Carmen Lucila Crexell,positivo
Alfredo Luis De Angeli,negativo
Claudio Martín Doñate,positivo
Norma Haydeé Durango,positivo
María Eugenia Dure,positivo
Silvia Beatriz Elías De Perez,negativo
Carlos Mauricio Espínola,negativo
Anabel Fernández Sagasti,positivo
Mario Raymundo Fiad,negativo
Silvina Marcela García Larraburu,positivo
Silvia Del Rosario Giacoppo,negativo
Nora Del Valle Gimenez,positivo
Gladys Esther González,positivo
María Teresa Margarita González,negativo
Nancy Susana González,positivo
Ana María Ianni,positivo
Edgardo Darío Kueider,positivo
Sergio Napoleón Leavy,positivo
Claudia Ledesma Abdala,negativo
Cristina Del Carmen López Valverde,negativo
Martín Lousteau,positivo
Daniel Aníbal Lovera,positivo
Alfredo Héctor Luenzo,positivo
Juan Carlos Marino,negativo
Ernesto Félix Martínez,positivo
Julio César Martínez,negativo
José Miguel Ángel Mayans,negativo
Enrique Dalmacio Mera,negativo
Roberto Mirabella,positivo
Beatriz Graciela Mirkin,positivo
Gerardo Antenor Montenegro,negativo
José Emilio Neder,negativo
Stella Maris Olalla,positivo
Juan Mario Pais,positivo
Oscar Isidro Parrilli,positivo
Luis Carlos Petcoff Naidenoff,positivo
María Inés Pilatti Vergara,positivo
Claudio Javier Poggi,negativo
Mariano Recalde,positivo
Carlos Alberto Reutemann,negativo
Antonio José Rodas,negativo
Matías David Rodríguez,positivo
Laura Rodríguez Machado,positivo
Adolfo Rodríguez Saá,ausente
Juan Carlos Romero,negativo
María De Los Ángeles Sacnun,positivo
Silvia Sapag,positivo
Humberto Luis Arturo Schiavoni,positivo
Guillermo Eugenio Mario Snopek,abstención
Magdalena Solari Quintana,negativo
Guadalupe Tagliaferri,positivo
Jorge Enrique Taiana,positivo
María Belén Tapia,negativo
José Rubén Uñac,negativo
María Clara Del Valle Vega,ausente
Pamela Fernanda Verasay,positivo
Alberto Edgardo Weretilneck,positivo
Víctor Zimmermann,negativo
Carlos Saúl Menem,ausente
José Jorge Alperovich,ausente
